Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Cost per item,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Variant Weight Unit,Status
"mahbuba-std-2571-earl-grey-bergamot-aromal-ithal-s","Mahbuba Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr","Mahbuba Mahbuba Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr. <h3>Ürün Özellikleri:</h3><ul><li><strong>Ağırlık:</strong> 200 g</li><li><strong>Menşei:</strong> LK</li><li><strong>İthalatçı/ Yetkili Temsilci/ İfa Hizmet Sağlayıcı:</strong> AKTÜRK SAĞLIK GIDA ELEKT.VE NAK. SAN.VE TİC. LTD. ŞTİ.</li><li><strong>Üretici Bilgisi:</strong> AKTÜRK SAĞLIK GIDA ELEKT.VE NAK. SAN.VE TİC. LTD. ŞTİ.</li><li><strong>Alerjen Uyarıları:</strong> BULUNMAMAKTADIR.</li><li><strong>Gıda İşletmesi Kayıt Numarası:</strong> TR-27-K-011626</li></ul>","Mahbuba","Genel","Ağırlık: 200 g, Menşei: LK, İthalatçı/ Yetkili Temsilci/ İfa Hizmet Sağlayıcı: AKTÜRK SAĞLIK GIDA ELEKT.VE NAK. SAN.VE TİC. LTD. ŞTİ., Üretici Bilgisi: AKTÜRK SAĞLIK GIDA ELEKT.VE NAK. SAN.VE TİC. LTD. ŞTİ., Alerjen Uyarıları: BULUNMAMAKTADIR., Gıda İşletmesi Kayıt Numarası: TR-27-K-011626","TRUE","Renk","Varsayılan","Beden","Standart","mahbuba-std-2571-earl-grey-bergamot-aromal-ithal-s-varsayılan-standart","25","274.85","","239.00","https://cdn.dsmcdn.com/ty1521/product/media/images/prod/QC/20240904/01/87ae9cc8-1d5a-34ac-a711-1aa2703201c9/1_org_zoom.jpg","1","Mahbuba Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr Varsayılan Standart","Mahbuba Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr | Mahbuba","Mahbuba Mahbuba Std 2571 Earl Grey Bergamot Aromalı Ithal Seylan Sri Lanka Ceylon Kaçak Siyah Yaprak Çayı 200gr. <h3>Ürün Özellikleri:</h3><ul><li><strong>Ağırl","kg","active"
"mahbuba-std-2571-earl-grey-bergamot-aromal-ithal-s","","","","","","","","","","","","","","","","https://cdn.dsmcdn.com/ty1624/product/media/images/prod/PIM/20250115/12/2be487a5-ed53-4d0f-ba81-a48d96a744b8/1_org_zoom.jpg","2","","","","",""
