Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Bordo,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--bordo-38,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Bordo,,42,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--bordo-42,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Bordo,,44,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--bordo-44,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Haki,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--haki-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Haki,,40,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--haki-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Pembe,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--pembe-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Pembe,,40,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--pembe-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Ekru,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--ekru-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Ekru,,40,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--ekru-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Siyah,,36,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--siyah-36,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Siyah,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--siyah-38,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Siyah,,42,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--siyah-42,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Siyah,,44,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--siyah-44,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949332/903542807/1/1_org_zoom.jpg,4,Sayina sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo - Siyah - Resim 2,,,,
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Yeşil,,38,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--yeşil-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,Yeşil,,40,,,sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel--yeşil-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-sar-tek-omuz-kemer-detayl-balenli-zel-,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty977/product/media/images/20230801/15/398949332/903542807/1/1_org_zoom.jpg,5,Sayina sayina Kadın Sarı Tek Omuz Kemer Detaylı Balenli Özel Tasarım Astarlı Şık Butik Mayo - Yeşil - Resim 2,,,,
