Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Bordo,,44,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-bordo-44,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Haki,,38,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-haki-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Haki,,40,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-haki-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Pembe,,38,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-pembe-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Pembe,,40,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-pembe-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Ekru,,38,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-ekru-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Ekru,,40,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-ekru-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Siyah,,36,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-siyah-36,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Siyah,,38,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-siyah-38,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Siyah,,42,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-siyah-42,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Siyah,,44,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-siyah-44,100,shopify,10,deny,manual,3541.10,3615.91,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty976/product/media/images/20230801/15/398949240/903474114/1/1_org_zoom.jpg,4,Sayina sayina Kadın Turuncu Tek Omuz Kemer Detaylı Mayo - Siyah - Resim 2,,,,
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Yeşil,,38,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-yeşil-38,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,Yeşil,,40,,,sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo-yeşil-40,100,shopify,10,deny,manual,1601.98,1676.73,TRUE,TRUE,,,,,FALSE,,,active
sayina-kadn-turuncu-tek-omuz-kemer-detayl-mayo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty976/product/media/images/20230801/15/398949240/903474114/1/1_org_zoom.jpg,5,Sayina sayina Kadın Turuncu Tek Omuz Kemer Detaylı Mayo - Yeşil - Resim 2,,,,
