Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
"peelter-kadn-yazlk-u-yaka-alt-ortlu-elbise","peelter Kadın Yazlık U Yaka Altı Şortlu Elbise","peelter Kadın Yazlık U Yaka Altı Şortlu Elbise Yüksek kaliteli peelter kadın yazlık u yaka altı şortlu elbise, modern tasarım ve konforlu kullanım için ideal. Güvenli alışveriş, hızlı kargo ve müşteri memnuniyeti garantisi ile sunulmaktadır.","Marka Bilinmiyor","Moda","Giyim","peelter, kadın, yazlık, yaka, altı, şortlu, elbise, xs, s, m, l, xl","TRUE","Renk","Default","Beden","Default",,,"923953977-default","300","shopify","10","deny","manual","599.99",,"TRUE","TRUE",,"https://cdn.dsmcdn.com/ty1656/prod/QC/20250331/23/bda58f6d-dca0-3abb-b024-8d86712d7447/1_org_zoom.jpg","1","peelter Kadın Yazlık U Yaka Altı Şortlu Elbise - Default Default","FALSE","peelter Kadın Yazlık U Yaka Altı Şortlu Elbise","peelter Kadın Yazlık U Yaka Altı Şortlu Elbise Yüksek kaliteli peelter kadın yazlık u yaka altı şortlu elbise, modern tasarım ve konforlu kullanım için ideal. G","Apparel & Accessories","Unisex","Adult","923953977-default","new","TRUE","https://cdn.dsmcdn.com/ty1656/prod/QC/20250331/23/bda58f6d-dca0-3abb-b024-8d86712d7447/1_org_zoom.jpg","g",,,"TRUE",,,"TRUE",,,"active"
"peelter-kadn-yazlk-u-yaka-alt-ortlu-elbise",,,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.dsmcdn.com/ty1657/prod/QC/20250331/23/891c65a0-39e0-38c1-9d99-de013bd6c367/1_org_zoom.jpg","2","peelter Kadın Yazlık U Yaka Altı Şortlu Elbise - Default Default - Görsel 2",,,,,,,,,,,,,,,,,,,,
"peelter-kadn-yazlk-u-yaka-alt-ortlu-elbise",,,,,,,,,,,,,,,,,,,,,,,,,"https://cdn.dsmcdn.com/ty1657/prod/QC/20250331/23/3f005845-ba38-33af-9ab9-34feeb9fe541/1_org_zoom.jpg","3","peelter Kadın Yazlık U Yaka Altı Şortlu Elbise - Default Default - Görsel 3",,,,,,,,,,,,,,,,,,,,
