Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
hakke-bel-lastikli-yarasa-kol-keten-elbise,HAKKE Bel Lastikli Yarasa Kol Keten Elbise,<p>Kaliteli ürün açıklaması</p>,HAKKE,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Shirts,"Made to Order, Shirt Tag",TRUE,Color,tek renk,Size,S,,,790728343-tekrenk-s,145,,0,deny,manual,557.69,,TRUE,TRUE,,https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1aee7899-050f-3e0c-9d77-5aa40c357fcd/1_org.jpg,1,HAKKE Bel Lastikli Yarasa Kol Keten Elbise,FALSE,HAKKE Bel Lastikli Yarasa Kol Keten Elbise,HAKKE Bel Lastikli Yarasa Kol Keten Elbise,,,,,new,TRUE,https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1aee7899-050f-3e0c-9d77-5aa40c357fcd/1_org.jpg,g,,,TRUE,,,TRUE,,,active
hakke-bel-lastikli-yarasa-kol-keten-elbise,,,HAKKE,,Shirts,,TRUE,,tek renk,,M,,,790728343-tekrenk-m,145,,0,deny,manual,557.69,,TRUE,TRUE,,,3,,,,,,,,,,,https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1aee7899-050f-3e0c-9d77-5aa40c357fcd/1_org.jpg,g,,,,,,,,,
hakke-bel-lastikli-yarasa-kol-keten-elbise,,,HAKKE,,Shirts,,TRUE,,tek renk,,L,,,790728343-tekrenk-l,145,,0,deny,manual,557.69,,TRUE,TRUE,,,4,,,,,,,,,,,https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1aee7899-050f-3e0c-9d77-5aa40c357fcd/1_org.jpg,g,,,,,,,,,
