Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
modagen-kadin-v-yaka-rahat-kalip-yazlik-elbise,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise,"""MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.""",MODAGEN,,"""MODAGEN,Clothing,Dress,Fashion,Yeşil,Elbise,Kumaş Tipi: Dokuma,Materyal: Dokuma,Kol Tipi: Kolsuz,Desen: Düz,Kalıp: Slim Fit,Renk: Yeşil,Yaka Tipi: V Yaka,Kol Boyu: Uzun,Cep: Cepsiz""",TRUE,Title,Default Title,,,,,modagen-kadin-v-yaka-rahat-kalip-yazlik-elbise,,,,,,467.05,,,,,https://cdn.dsmcdn.com/ty1245/product/media/images/prod/SPM/PIM/20240407/10/896d4a23-8353-3e64-bb3a-60607bdd3f1a/1_org_zoom.jpg,1,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise,,,,,,,,,,,,,,,,,,,,,
modagen-kadin-v-yaka-rahat-kalip-yazlik-elbise,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise,"""MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.""",turmarkt,,"""MODAGEN, Clothing, Dress, Fashion, Yeşil, Elbise, Kumaş Tipi: Dokuma, Materyal: Dokuma, Kol Tipi: Kolsuz, Desen: Düz, Kalıp: Slim Fit, Renk: Yeşil, Yaka Tipi: V Yaka, Kol Boyu: Uzun, Cep: Cepsiz""",TRUE,Title,Default Title,,,,,,,,,,,467.05,,,,,https://cdn.dsmcdn.com/ty1247/product/media/images/prod/SPM/PIM/20240407/10/83cdf567-5017-3506-b79c-9f4af812d142/1_org_zoom.jpg,2,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise - Görsel 2,,,,,,,,,,,,,,,,,,,,,
modagen-kadin-v-yaka-rahat-kalip-yazlik-elbise,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise,"""MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.""",turmarkt,,"""MODAGEN, Clothing, Dress, Fashion, Yeşil, Elbise, Kumaş Tipi: Dokuma, Materyal: Dokuma, Kol Tipi: Kolsuz, Desen: Düz, Kalıp: Slim Fit, Renk: Yeşil, Yaka Tipi: V Yaka, Kol Boyu: Uzun, Cep: Cepsiz""",TRUE,Title,Default Title,,,,,,,,,,,467.05,,,,,https://cdn.dsmcdn.com/ty1247/product/media/images/prod/SPM/PIM/20240407/10/512f97a4-728b-3ba1-8692-2123dd423e39/1_org_zoom.jpg,3,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise - Görsel 3,,,,,,,,,,,,,,,,,,,,,
