Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Status,Published At,Published Scope,Template Suffix,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
"""mango-suni-deri-fermuarli-cuzdan""","""MANGO Suni deri fermuarlı cüzdan""","""MANGO Suni deri fermuarlı cüzdan""","""turmarkt""","""""","""Diğer""","""Diğer""","""TRUE""","""active""","""2025-06-14T07 26 57.035Z""","""web""","""""","""Title""","""Default Title""","""""","""""","""""","""""","""mango-suni-deri-fermuarli-cuzdan""","""500""","""shopify""","""50""","""deny""","""manual""","""604.99""","""0""","""TRUE""","""TRUE""","""""","""https cdn.dsmcdn.com mnresize 1200 1800 ty1641 prod QC 20250222 13 0c6d143f-bf98""","""1""","""MANGO Suni deri fermuarlı cüzdan""","""FALSE""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""g""","""""",""""""
"""mango-suni-deri-fermuarli-cuzdan""","""MANGO Suni deri fermuarlı cüzdan""","""MANGO Suni deri fermuarlı cüzdan""","""turmarkt""","""""","""Diğer""","""Diğer""","""TRUE""","""active""","""2025-06-14T07 26 57.035Z""","""web""","""""","""Size""","""Default""","""""","""""","""""","""""","""""","""""","""shopify""","""50""","""deny""","""manual""","""604.99""","""0""","""TRUE""","""TRUE""","""""","""https cdn.dsmcdn.com ty1641 prod QC 20250222 13 0c6d143f-bf98-3b8a-9d71-1e6b0a05""","""2""","""MANGO Suni deri fermuarlı cüzdan - 2""","""FALSE""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""g""","""""",""""""
"""mango-suni-deri-fermuarli-cuzdan""","""MANGO Suni deri fermuarlı cüzdan""","""MANGO Suni deri fermuarlı cüzdan""","""turmarkt""","""""","""Diğer""","""Diğer""","""TRUE""","""active""","""2025-06-14T07 26 57.035Z""","""web""","""""","""Size""","""Default""","""""","""""","""""","""""","""""","""""","""shopify""","""50""","""deny""","""manual""","""604.99""","""0""","""TRUE""","""TRUE""","""""","""https cdn.dsmcdn.com ty1642 prod QC 20250222 13 367551ea-dbb4-3e23-853d-a5e9c36a""","""3""","""MANGO Suni deri fermuarlı cüzdan - 3""","""FALSE""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""g""","""""",""""""
"""mango-suni-deri-fermuarli-cuzdan""","""MANGO Suni deri fermuarlı cüzdan""","""MANGO Suni deri fermuarlı cüzdan""","""turmarkt""","""""","""Diğer""","""Diğer""","""TRUE""","""active""","""2025-06-14T07 26 57.035Z""","""web""","""""","""Size""","""Default""","""""","""""","""""","""""","""""","""""","""shopify""","""50""","""deny""","""manual""","""604.99""","""0""","""TRUE""","""TRUE""","""""","""https cdn.dsmcdn.com ty1642 prod QC 20250222 13 5e909d40-d53f-3ec8-82c1-c7446f87""","""4""","""MANGO Suni deri fermuarlı cüzdan - 4""","""FALSE""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""g""","""""",""""""
"""mango-suni-deri-fermuarli-cuzdan""","""MANGO Suni deri fermuarlı cüzdan""","""MANGO Suni deri fermuarlı cüzdan""","""turmarkt""","""""","""Diğer""","""Diğer""","""TRUE""","""active""","""2025-06-14T07 26 57.035Z""","""web""","""""","""Size""","""Default""","""""","""""","""""","""""","""""","""""","""shopify""","""50""","""deny""","""manual""","""604.99""","""0""","""TRUE""","""TRUE""","""""","""https cdn.dsmcdn.com ty1642 prod QC 20250222 13 129d76a2-495c-3d91-b295-27b88bf3""","""5""","""MANGO Suni deri fermuarlı cüzdan - 5""","""FALSE""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""g""","""""",""""""
"""mango-suni-deri-fermuarli-cuzdan""","""MANGO Suni deri fermuarlı cüzdan""","""MANGO Suni deri fermuarlı cüzdan""","""turmarkt""","""""","""Diğer""","""Diğer""","""TRUE""","""active""","""2025-06-14T07 26 57.035Z""","""web""","""""","""Size""","""Default""","""""","""""","""""","""""","""""","""""","""shopify""","""50""","""deny""","""manual""","""604.99""","""0""","""TRUE""","""TRUE""","""""","""https cdn.dsmcdn.com ty1643 prod QC 20250222 13 4a3ab965-4cee-35a8-8e52-0dbe65ae""","""6""","""MANGO Suni deri fermuarlı cüzdan - 6""","""FALSE""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""g""","""""",""""""
