Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
modagen-kadin-v-yaka-rahat-kalip-yazlik-elbise,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise,"MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.",MODAGEN,,,"MODAGEN,Clothing,Dress,Fashion,Yeşil,Elbise,Kumaş Tipi: Dokuma,Materyal: Dokuma,Kol Tipi: Kolsuz,Desen: Düz,Kalıp: Slim Fit,Renk: Yeşil,Yaka Tipi: V Yaka,Kol Boyu: Uzun,Cep: Cepsiz",TRUE,Title,Default Title,,,,,modagen-kadin-v-yaka-rahat-kalip-yazlik-elbise,500,shopify,50,deny,manual,467.05,,TRUE,TRUE,,https://cdn.dsmcdn.com/ty1245/product/media/images/prod/SPM/PIM/20240407/10/896d4a23-8353-3e64-bb3a-60607bdd3f1a/1_org_zoom.jpg,1,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise,,,,,,,,,,,,,,,,,,,,active
modagen-kadin-v-yaka-rahat-kalip-yazlik-elbise,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise,"<p>MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.</p>",turmarkt,,,"MODAGEN, Clothing, Dress, Fashion, Yeşil, Elbise, Kumaş Tipi: Dokuma, Materyal: Dokuma, Kol Tipi: Kolsuz, Desen: Düz, Kalıp: Slim Fit, Renk: Yeşil, Yaka Tipi: V Yaka, Kol Boyu: Uzun, Cep: Cepsiz",TRUE,Title,Default Title,,,,,,500,shopify,50,deny,manual,467.05,,TRUE,TRUE,,https://cdn.dsmcdn.com/ty1247/product/media/images/prod/SPM/PIM/20240407/10/83cdf567-5017-3506-b79c-9f4af812d142/1_org_zoom.jpg,2,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise - Görsel 2,,,,,,,,,,,,,,,,,,,,active
modagen-kadin-v-yaka-rahat-kalip-yazlik-elbise,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise,"<p>MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.</p>",turmarkt,,,"MODAGEN, Clothing, Dress, Fashion, Yeşil, Elbise, Kumaş Tipi: Dokuma, Materyal: Dokuma, Kol Tipi: Kolsuz, Desen: Düz, Kalıp: Slim Fit, Renk: Yeşil, Yaka Tipi: V Yaka, Kol Boyu: Uzun, Cep: Cepsiz",TRUE,Title,Default Title,,,,,,500,shopify,50,deny,manual,467.05,,TRUE,TRUE,,https://cdn.dsmcdn.com/ty1247/product/media/images/prod/SPM/PIM/20240407/10/512f97a4-728b-3ba1-8692-2123dd423e39/1_org_zoom.jpg,3,MODAGEN Kadın V Yaka Rahat Kalıp Yazlık Elbise - Görsel 3,,,,,,,,,,,,,,,,,,,,active
