Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Cost per item,Option3 Name,Option3 Value,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Tax Code,Included / France,Price / France,Compare At Price / France,Included / Germany,Price / Germany,Compare At Price / Germany,Included / UK,Price / UK,Compare At Price / UK,Included / US,Price / US,Compare At Price / US
hakke-bel-lastikli-yarasa-kol-keten-elbise,HAKKE Bel Lastikli Yarasa Kol Keten Elbise,<p>Kaliteli ürün</p>,HAKKE,Tişört,indirimli,TRUE,Renk,tek renk,Beden,S,790728343-tekrenk-s,200,shopify,10,deny,manual,557.69,506.99,TRUE,TRUE,,https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1aee7899-050f-3e0c-9d77-5aa40c357fcd/1_org.jpg,1,HAKKE Bel Lastikli Yarasa Kol Keten Elbise,FALSE,HAKKE Bel Lastikli Yarasa Kol Keten Elbise,Rahat ve sade tasarım,Apparel & Accessories > Clothing > Shirts & Tops,unisex,adult,790728343-tekrenk-s,new,FALSE,https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1aee7899-050f-3e0c-9d77-5aa40c357fcd/1_org.jpg,g,405.59,,,,,,,,,,,,,,,,,,,,,,
hakke-bel-lastikli-yarasa-kol-keten-elbise,,,HAKKE,Tişört,,TRUE,,tek renk,,M,790728343-tekrenk-m,200,shopify,10,deny,manual,557.69,506.99,TRUE,TRUE,,,,,FALSE,,,,,,,,,https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1aee7899-050f-3e0c-9d77-5aa40c357fcd/1_org.jpg,,405.59,,,,,,,,,,,,,,,,,,,,,,
hakke-bel-lastikli-yarasa-kol-keten-elbise,,,HAKKE,Tişört,,TRUE,,tek renk,,L,790728343-tekrenk-l,200,shopify,10,deny,manual,557.69,506.99,TRUE,TRUE,,,,,FALSE,,,,,,,,,https://cdn.dsmcdn.com/ty1102/product/media/images/prod/SPM/PIM/20231222/09/1aee7899-050f-3e0c-9d77-5aa40c357fcd/1_org.jpg,,405.59,,,,,,,,,,,,,,,,,,,,,,
