Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mnk-baby-kids-simli-sanzelize-kiz-cocuk-abiye-elbise-m00669-,Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO,"""Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.""",Mnk Baby&Kids,,"""Mnk Baby&Kids,Clothing,Dress,Fashion,İNDİGO,Elbise,Kumaş Tipi: Örme,Materyal: Polyester,Kol Tipi: Kısa Kol,Desen: Düz,Kalıp: Regular,Renk: Lacivert,Yaka Tipi: Sıfır Yaka,Kapama Şekli: Fermuarlı,Kol Boyu: Kısa""",TRUE,Title,Default Title,,,,,mnk-baby-kids-simli-sanzelize-kiz-cocuk-abiye-elbise-m00669-,,,,,,1156.91,,,,,https://cdn.dsmcdn.com/ty1617/prod/QC/20241226/12/64b2d2df-66ff-3eb9-b626-c133e382ec92/1_org_zoom.jpg,1,Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO,,,,,,,,,,,,,,,,,,,,,
mnk-baby-kids-simli-sanzelize-kiz-cocuk-abiye-elbise-m00669-,Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO,"""Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.""",turmarkt,,"""Mnk Baby&Kids, Clothing, Dress, Fashion, İNDİGO, Elbise, Kumaş Tipi: Örme, Materyal: Polyester, Kol Tipi: Kısa Kol, Desen: Düz, Kalıp: Regular, Renk: Lacivert, Yaka Tipi: Sıfır Yaka, Kapama Şekli: Fermuarlı, Kol Boyu: Kısa""",TRUE,Title,Default Title,,,,,,,,,,,1156.91,,,,,https://cdn.dsmcdn.com/ty1605/prod/QC/20241124/23/bc386b0f-79d9-38f6-ab79-aacbbe71abdc/1_org_zoom.jpg,2,Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO - Görsel 2,,,,,,,,,,,,,,,,,,,,,
mnk-baby-kids-simli-sanzelize-kiz-cocuk-abiye-elbise-m00669-,Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO,"""Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.""",turmarkt,,"""Mnk Baby&Kids, Clothing, Dress, Fashion, İNDİGO, Elbise, Kumaş Tipi: Örme, Materyal: Polyester, Kol Tipi: Kısa Kol, Desen: Düz, Kalıp: Regular, Renk: Lacivert, Yaka Tipi: Sıfır Yaka, Kapama Şekli: Fermuarlı, Kol Boyu: Kısa""",TRUE,Title,Default Title,,,,,,,,,,,1156.91,,,,,https://cdn.dsmcdn.com/ty1605/prod/QC/20241124/23/59178f53-3087-3f3c-be5a-953605c0da2c/1_org_zoom.jpg,3,Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO - Görsel 3,,,,,,,,,,,,,,,,,,,,,
mnk-baby-kids-simli-sanzelize-kiz-cocuk-abiye-elbise-m00669-,Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO,"""Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO yorumlarını inceleyin, Trendyol'a özel indirimli fiyata satın alın.""",turmarkt,,"""Mnk Baby&Kids, Clothing, Dress, Fashion, İNDİGO, Elbise, Kumaş Tipi: Örme, Materyal: Polyester, Kol Tipi: Kısa Kol, Desen: Düz, Kalıp: Regular, Renk: Lacivert, Yaka Tipi: Sıfır Yaka, Kapama Şekli: Fermuarlı, Kol Boyu: Kısa""",TRUE,Title,Default Title,,,,,,,,,,,1156.91,,,,,https://cdn.dsmcdn.com/ty1606/prod/QC/20241124/23/8f157153-00a7-3fe9-adfe-10c4db29de8e/1_org_zoom.jpg,4,Mnk Baby&Kids Simli Şanzelize Kız Çocuk Abiye Elbise M00669 İNDİGO - Görsel 4,,,,,,,,,,,,,,,,,,,,,
