Handle,Title,Body (HTML),Vendor,Product Type,Tags,SEO Title,SEO Description,Variant Price,Variant Compare At Price,Variant SKU,Variant Inventory Qty,Image Src,Image Position,Image Alt Text,Variant Image,Option1 Name,Option1 Value,Option2 Name,Option2 Value
under-armour-erkek-ua-sportstyle-logo-update-ksa-k,Under Armour Erkek UA Sportstyle Logo Update Kısa Kollu Tişört 1382911-036,"<div class=""product-description""><h2>Under Armour Erkek UA Sportstyle Logo Update Kısa Kollu Tişört 1382911-036</h2><p>Under Armour Erkek UA Sportstyle Logo Update Kısa Kollu Tişört 1382911-036 - Profesyonel kalitede ürün.</p><h3>Ürün Detayları:</h3><ul><li><strong>Kategori:</strong> Giyim</li><li><strong>Hedef Kitle:</strong> Genel Kullanıcılar</li><li><strong>Stil:</strong> Modern</li></ul></div>",Under Armour,Giyim,"Giyim, Genel Kullanıcılar, Modern, Her Mevsim, Under Armour, Trendyol",Under Armour Erkek UA Sportstyle Logo Update Kısa Kollu Tişört 1382911-036 | Under Armour,Under Armour Erkek UA Sportstyle Logo Update Kısa Kollu Tişört 1382911-036 - Under Armour markasından kaliteli ürün. ,890,1068.00,under-armour-erkek-ua-sportstyle-logo-update-ksa-k-Tek Renk-1750427177960,100,https://cdn.dsmcdn.com/ty1631/prod/QC/20250130/10/2ad4867e-0fc7-3b24-9e8b-9b32084e8030/1_org_zoom.jpg,1,Under Armour Erkek UA Sportstyle Logo Update Kısa Kollu Tişört 1382911-036 Tek Renk görsel 1,https://cdn.dsmcdn.com/ty1631/prod/QC/20250130/10/2ad4867e-0fc7-3b24-9e8b-9b32084e8030/1_org_zoom.jpg,Renk,Tek Renk,Beden,Standart
,,,,,,,,890,1068.00,under-armour-erkek-ua-sportstyle-logo-update-ksa-k-Tek Renk-1750427177960,100,https://cdn.dsmcdn.com/mnresize/1200/1800/ty1630/product/media/images/prod/PIM/20250130/06/e700505d-6913-48e6-8e43-758836b18b94/1_org_zoom.jpg,2,Under Armour Erkek UA Sportstyle Logo Update Kısa Kollu Tişört 1382911-036 Tek Renk görsel 2,,Renk,Tek Renk,Beden,Standart
,,,,,,,,890,1068.00,under-armour-erkek-ua-sportstyle-logo-update-ksa-k-Tek Renk-1750427177960,100,https://cdn.dsmcdn.com/mnresize/170/247/ty1630/product/media/images/prod/PIM/20250130/06/e700505d-6913-48e6-8e43-758836b18b94/1_org_zoom.jpg,3,Under Armour Erkek UA Sportstyle Logo Update Kısa Kollu Tişört 1382911-036 Tek Renk görsel 3,,Renk,Tek Renk,Beden,Standart
,,,,,,,,890,1068.00,under-armour-erkek-ua-sportstyle-logo-update-ksa-k-Tek Renk-1750427177960,100,https://cdn.dsmcdn.com/mnresize/50/50/mobile/enerjietiketi/(A)-(G)_A.png,4,Under Armour Erkek UA Sportstyle Logo Update Kısa Kollu Tişört 1382911-036 Tek Renk görsel 4,,Renk,Tek Renk,Beden,Standart
,,,,,,,,890,1068.00,under-armour-erkek-ua-sportstyle-logo-update-ksa-k-Tek Renk-1750427177960,100,https://cdn.dsmcdn.com/mnresize/50/50/mobile/enerjietiketi/(A)-(G)_B.png,5,Under Armour Erkek UA Sportstyle Logo Update Kısa Kollu Tişört 1382911-036 Tek Renk görsel 5,,Renk,Tek Renk,Beden,Standart
