Handle,Title,Body (HTML),Vendor,Product Type,Tags,SEO Title,SEO Description,Variant Price,Variant Compare At Price,Variant SKU,Variant Inventory Qty,Image Src,Image Position,Image Alt Text,Variant Image,Option1 Name,Option1 Value,Option2 Name,Option2 Value
zhre-ana-bromelain-ananas-ieren-detox-urubu,Zühre Ana Bromelain Ananas İçeren Detox Şurubu,"<div class=""product-description""><h2>Zühre Ana Bromelain Ananas İçeren Detox Şurubu</h2><p>Zühre Ana Bromelain Ananas İçeren Detox Şurubu - Profesyonel kalitede ürün.</p><h3>Ürün Detayları:</h3><ul><li><strong>Kategori:</strong> Sağlık</li><li><strong>Hedef Kitle:</strong> Genel Kullanıcılar</li><li><strong>Stil:</strong> Modern</li></ul></div>",Zühre Ana,Sağlık,"Sağlık, Genel Kullanıcılar, Modern, Her Mevsim, Zühre Ana, Trendyol",Zühre Ana Bromelain Ananas İçeren Detox Şurubu | Zühre Ana,Zühre Ana Bromelain Ananas İçeren Detox Şurubu - Zühre Ana markasından kaliteli ürün. ,"289,90",347.88,zhre-ana-bromelain-ananas-ieren-detox-urubu-Tek Renk-1750422434262,100,https://cdn.dsmcdn.com/ty1347/product/media/images/prod/QC/20240603/09/1242224a-b5b6-3a62-997a-9adf07edbc2d/1_org_zoom.jpg,1,Zühre Ana Bromelain Ananas İçeren Detox Şurubu Tek Renk görsel 1,https://cdn.dsmcdn.com/ty1347/product/media/images/prod/QC/20240603/09/1242224a-b5b6-3a62-997a-9adf07edbc2d/1_org_zoom.jpg,Renk,Tek Renk,Beden,Standart
,,,,,,,,"289,90",347.88,zhre-ana-bromelain-ananas-ieren-detox-urubu-Tek Renk-1750422434262,100,https://cdn.dsmcdn.com/ty1347/product/media/images/prod/QC/20240603/09/464c9089-4bc1-380a-8270-da7ded9aa2d2/1_org_zoom.jpg,2,Zühre Ana Bromelain Ananas İçeren Detox Şurubu Tek Renk görsel 2,,Renk,Tek Renk,Beden,Standart
,,,,,,,,"289,90",347.88,zhre-ana-bromelain-ananas-ieren-detox-urubu-Tek Renk-1750422434262,100,https://cdn.dsmcdn.com/mnresize/1200/1800/ty1347/product/media/images/prod/QC/20240603/09/1242224a-b5b6-3a62-997a-9adf07edbc2d/1_org_zoom.jpg,3,Zühre Ana Bromelain Ananas İçeren Detox Şurubu Tek Renk görsel 3,,Renk,Tek Renk,Beden,Standart
,,,,,,,,"289,90",347.88,zhre-ana-bromelain-ananas-ieren-detox-urubu-Tek Renk-1750422434262,100,https://cdn.dsmcdn.com/mnresize/170/247/ty1347/product/media/images/prod/QC/20240603/09/1242224a-b5b6-3a62-997a-9adf07edbc2d/1_org_zoom.jpg,4,Zühre Ana Bromelain Ananas İçeren Detox Şurubu Tek Renk görsel 4,,Renk,Tek Renk,Beden,Standart
,,,,,,,,"289,90",347.88,zhre-ana-bromelain-ananas-ieren-detox-urubu-Tek Renk-1750422434262,100,https://cdn.dsmcdn.com/mnresize/50/50/mobile/enerjietiketi/(A)-(G)_A.png,5,Zühre Ana Bromelain Ananas İçeren Detox Şurubu Tek Renk görsel 5,,Renk,Tek Renk,Beden,Standart
