"Handle","Title","Body (HTML)","Vendor","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Inventory Qty","Variant Price","Variant Compare At Price","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Variant Image","Variant Weight Unit","Status","Product Features","Product Category","Product Material","Product Color","Product Size","Product Brand","Product Model","Product SKU","Product Description","Additional Properties","Meta Keywords","Product Type"
"manuka-oversize-denim-gomlek-ceket","MANUKA Oversize Denim Gömlek Ceket","<div class=""product-info"">
  <h3>MANUKA Oversize Denim Gömlek Ceket</h3>
  <p><strong>Marka:</strong> MANUKA</p>
  <p><strong>Fiyat:</strong> 3697.71 TL</p>
  <p><strong>Ürün Tipi:</strong> Oversize Denim Gömlek Ceket</p>
  <p><strong>Renk:</strong> Mavi</p>
  <p><strong>Malzeme:</strong> %100 Pamuk Denim</p>
  <p><strong>Kesim:</strong> Oversize</p>
</div>","MANUKA","manuka, denim, gömlek, ceket, oversize, mavi, pamuk, erkek, kadın","TRUE","Renk","Mavi","Beden","XS","manuka-oversize-denim-mavi-xs","10","3697.71","3215.40","","1","MANUKA Oversize Denim Gömlek Ceket - Mavi XS","FALSE","MANUKA Oversize Denim Gömlek Ceket - Mavi","MANUKA markasının trend oversize denim gömlek ceketi. %100 pamuk denim kumaş, rahat kesim.","","kg","active","Oversize kesim, %100 pamuk denim kumaş, düğmeli kapama","Giyim > Ceket > Denim Ceket","%100 Pamuk Denim","Mavi","XS","MANUKA","Oversize Denim Gömlek Ceket","825986209","Trend oversize denim gömlek ceket, rahat ve şık kesim","Oversize, casual, denim, unisex","manuka, denim, oversize, ceket, mavi","Gömlek Ceket"
"manuka-oversize-denim-gomlek-ceket","","","","","","","Mavi","","S","manuka-oversize-denim-mavi-s","10","3697.71","3215.40","","2","MANUKA Oversize Denim Gömlek Ceket - Mavi S","FALSE","","","","kg","active","","","","","","","","","","","","",""
"manuka-oversize-denim-gomlek-ceket","","","","","","","Mavi","","M","manuka-oversize-denim-mavi-m","10","3697.71","3215.40","","3","MANUKA Oversize Denim Gömlek Ceket - Mavi M","FALSE","","","","kg","active","","","","","","","","","","","","",""
"manuka-oversize-denim-gomlek-ceket","","","","","","","Mavi","","L","manuka-oversize-denim-mavi-l","10","3697.71","3215.40","","4","MANUKA Oversize Denim Gömlek Ceket - Mavi L","FALSE","","","","kg","active","","","","","","","","","","","","",""
"manuka-oversize-denim-gomlek-ceket","","","","","","","Mavi","","XL","manuka-oversize-denim-mavi-xl","10","3697.71","3215.40","","5","MANUKA Oversize Denim Gömlek Ceket - Mavi XL","FALSE","","","","kg","active","","","","","","","","","","","","",""
